,0
0.0,"(0.12156862745098039, 0.46666666666666667, 0.70588235294117652)"
25.0,"(0.13176470588235295, 0.49882352941176472, 0.59921568627450983)"
50.0,"(0.1419607843137255, 0.53098039215686277, 0.49254901960784314)"
75.0,"(0.15215686274509804, 0.56313725490196076, 0.38588235294117645)"
100.0,"(0.16235294117647059, 0.59529411764705886, 0.27921568627450977)"
125.0,"(0.17254901960784313, 0.62745098039215685, 0.17254901960784313)"
150.0,"(0.17254901960784313, 0.62745098039215685, 0.17254901960784313)"
175.0,"(0.23420222991157247, 0.61780853517877743, 0.1637831603229527)"
200.0,"(0.29910034602076124, 0.60765859284890422, 0.15455594002306805)"
225.0,"(0.36399846212995002, 0.59750865051903113, 0.1453287197231834)"
250.0,"(0.42565167243367935, 0.5878662053056517, 0.13656286043829297)"
275.0,"(0.49054978854286807, 0.5777162629757786, 0.12733564013840831)"
300.0,"(0.55544790465205685, 0.5675663206459054, 0.11810841983852363)"
325.0,"(0.61710111495578612, 0.55792387543252597, 0.10934256055363321)"
350.0,"(0.68199923106497495, 0.54777393310265277, 0.10011534025374855)"
375.0,"(0.74689734717416378, 0.53762399077277967, 0.090888119953863894)"
400.0,"(0.80855055747789306, 0.52798154555940024, 0.082122260668973476)"
425.0,"(0.87344867358708189, 0.51783160322952715, 0.072895040369088809)"
450.0,"(0.93834678969627072, 0.50768166089965394, 0.063667820069204142)"
475.0,"(1.0, 0.49803921568627452, 0.054901960784313725)"
500.0,"(1.0, 0.49803921568627452, 0.054901960784313725)"
525.0,"(0.99873894655901574, 0.49533256439830836, 0.05570165321030373)"
550.0,"(0.99684736639753946, 0.4912725874663591, 0.056901191849288733)"
575.0,"(0.9955863129565552, 0.48856593617839295, 0.057700884275278738)"
600.0,"(0.99369473279507881, 0.48450595924644368, 0.058900422914263742)"
625.0,"(0.99243367935409454, 0.48179930795847753, 0.059700115340253747)"
650.0,"(0.99054209919261826, 0.47773933102652827, 0.060899653979238751)"
675.0,"(0.98865051903114187, 0.47367935409457901, 0.062099192618223761)"
700.0,"(0.98738946559015761, 0.47097270280661285, 0.062898885044213759)"
725.0,"(0.98549788542868133, 0.46691272587466359, 0.064098423683198763)"
750.0,"(0.98423683198769707, 0.46420607458669744, 0.064898116109188775)"
775.0,"(0.98234525182622068, 0.46014609765474818, 0.066097654748173779)"
800.0,"(0.98045367166474429, 0.45608612072279892, 0.067297193387158782)"
825.0,"(0.97919261822376014, 0.45337946943483276, 0.068096885813148794)"
850.0,"(0.97730103806228374, 0.4493194925028835, 0.069296424452133798)"
875.0,"(0.97603998462129948, 0.44661284121491734, 0.070096116878123796)"
900.0,"(0.9741484044598232, 0.44255286428296808, 0.0712956555171088)"
925.0,"(0.97288735101883894, 0.43984621299500193, 0.072095347943098811)"
950.0,"(0.97099577085736255, 0.43578623606305267, 0.073294886582083815)"
975.0,"(0.96910419069588616, 0.43172625913110341, 0.074494425221068819)"
1000.0,"(0.96784313725490201, 0.42901960784313725, 0.075294117647058817)"
1025.0,"(0.96595155709342562, 0.42495963091118805, 0.076493656286043821)"
1050.0,"(0.96469050365244136, 0.42225297962322184, 0.077293348712033833)"
1075.0,"(0.96279892349096496, 0.41819300269127258, 0.078492887351018836)"
1100.0,"(0.96090734332948868, 0.41413302575932331, 0.07969242599000384)"
1125.0,"(0.95964628988850442, 0.41142637447135716, 0.080492118415993852)"
1150.0,"(0.95775470972702803, 0.40736639753940795, 0.081691657054978856)"
1175.0,"(0.95649365628604388, 0.40465974625144174, 0.082491349480968854)"
1200.0,"(0.95460207612456749, 0.40059976931949248, 0.083690888119953857)"
1225.0,"(0.95334102268358323, 0.39789311803152638, 0.084490580545943855)"
1250.0,"(0.95144944252210695, 0.39383314109957712, 0.085690119184928873)"
1275.0,"(0.94955786236063056, 0.38977316416762786, 0.086889657823913877)"
1300.0,"(0.94829680891964629, 0.38706651287966171, 0.087689350249903875)"
1325.0,"(0.9464052287581699, 0.38300653594771245, 0.088888888888888878)"
1350.0,"(0.94514417531718575, 0.38029988465974629, 0.08968858131487889)"
1375.0,"(0.94325259515570936, 0.37623990772779703, 0.090888119953863894)"
1400.0,"(0.94136101499423297, 0.37217993079584777, 0.092087658592848898)"
1425.0,"(0.94009996155324871, 0.36947327950788156, 0.09288735101883891)"
1450.0,"(0.93820838139177243, 0.36541330257593235, 0.094086889657823913)"
